Age,Gender,Educational.Qualification,GPT_Use,pre.MHL_KMHP,pre.MHL_EBS,pre.MHL_FASHSB,pre.MHL_SHS,pre.MHL_Total,pre.MHSAS,pre.STIG,pre.MHSES,pre.SPANE_P,pre.SPANE_N,pre.SPANE_B,pre.FLOUSC,post.MHL_KMHP,post.MHL_EBS,post.MHL_FASHSB,post.MHL_SHS,post.MHL_Total,post.MHSAS,post.STIG,post.MHSES,post.SPANE_P,post.SPANE_N,post.SPANE_B,post.FLOUSC,GPT_Rating,Prompts_Rating,Intervention_Rating,MHL_Rating,GPT_MHL,GPT_Flaw
19,Female,Bcom,Occasionally (once or twice),28,12,13,19,72,4.777777778,17,52,24,13,11,56,19,12,11,18,60,6.555555556,12,48,16,21,-5,32,Good,Excellent,Good,Yes,Maybe,No
20,Male,Bcom computer application,Occasionally (once or twice),29,11,14,19,73,6.111111111,6,46,23,14,9,46,30,15,15,20,80,6.333333333,5,45,15,20,-5,30,Excellent,Excellent,Excellent,Yes,Yes,No
19,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Always (daily),25,12,13,17,67,6.444444444,18,15,16,18,-2,42,19,11,10,16,56,7,17,23,21,16,5,40,Good,Good,Excellent,Yes,Yes,No
20,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,24,11,11,18,64,4.555555556,21,39,19,22,-3,36,23,12,10,15,60,7,14,47,26,19,7,48,Good,Excellent,Good,Yes,Maybe,Maybe
19,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,26,9,13,17,65,5.222222222,23,40,26,13,13,45,23,12,10,15,60,4,14,47,15,24,-9,42,Excellent,Good,Good,Yes,Maybe,Maybe
19,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,18,13,8,15,54,6.222222222,12,22,18,19,-1,51,30,15,15,20,80,7,5,45,20,18,2,30,Excellent,Excellent,Excellent,Yes,Yes,No
18,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Sometimes (once a week),22,14,14,16,66,6.777777778,17,26,14,25,-11,30,25,14,15,16,70,6,1,48,28,17,11,55,Good,Good,Good,Yes,Maybe,No
20,Male,B.com computer application ,Occasionally (once or twice),24,12,12,15,63,3.777777778,12,39,20,18,2,50,23,12,11,16,62,4.444444444,6,37,21,20,1,48,Good,Good,Good,Yes,Maybe,Maybe
18,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Always (daily),30,11,12,15,68,4.444444444,17,26,26,12,14,51,20,14,12,15,61,7,20,38,18,20,-2,50,Good,Good,Good,Maybe,Yes,No
19,Female,Pursuing a bachelors degree (Bcom),Never,22,9,15,18,64,6.666666667,14,36,16,17,-1,44,23,12,11,18,64,6.555555556,12,48,14,22,-8,29,Good,Excellent,Good,Yes,Maybe,No
19,Female,pursuing a Bachelor's Degree( B.Com CA),Never,25,9,10,13,57,4,17,38,19,19,0,42,28,15,15,20,78,4,3,60,17,23,-6,49,Excellent,Excellent,Excellent,Yes,Yes,No
20,Male,Pursuing bcom computer application,Sometimes (once a week),24,15,14,18,71,6.222222222,7,51,20,14,6,39,28,15,12,20,75,6.666666667,7,52,20,17,3,38,Excellent,Good,Good,Yes,Yes,No
20,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,22,13,13,17,65,6.777777778,23,55,25,15,10,45,19,11,10,16,56,7,17,23,13,23,-10,45,Good,Good,Excellent,Yes,Yes,No
23,Female,Pursuing a Ph.D.,Sometimes (once a week),29,13,10,11,63,3.888888889,25,43,12,22,-10,26,30,14,15,18,77,7,25,41,21,16,5,46,Excellent,Good,Excellent,Yes,Yes,No
19,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Sometimes (once a week),19,12,9,16,56,6.555555556,18,27,18,17,1,30,21,10,12,17,60,4,14,47,20,16,4,46,Good,Fair,Good,Yes,Maybe,Maybe
22,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,29,12,13,17,71,4.555555556,20,30,16,16,0,40,21,10,13,17,61,7,14,47,19,24,-5,56,Good,Fair,Good,Yes,Maybe,Maybe
19,Female,BCOM,Never,18,12,8,15,53,6,15,17,17,22,-5,29,30,15,15,20,80,6,24,60,24,12,12,44,Excellent,Fair,Good,Yes,Yes,No
18,Female,BSc Psychology ,Occasionally (once or twice),26,14,12,17,69,6.888888889,23,34,19,18,1,39,20,14,12,15,61,7,20,38,17,20,-3,43,Good,Good,Good,Maybe,Yes,No
20,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,25,15,15,17,72,3.555555556,24,54,20,18,2,43,28,15,15,20,78,6.555555556,3,60,22,12,10,36,Excellent,Excellent,Excellent,Yes,Yes,No
19,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,20,13,8,14,55,6,14,18,18,22,-4,29,28,12,15,20,75,6.333333333,3,60,20,18,2,45,Excellent,Excellent,Excellent,Yes,Yes,No
18,Female,Pursuing a Bachelor's degree (BA/ BSc/ BTech),Never,21,10,13,19,63,6.777777778,14,37,17,17,0,44,22,14,13,16,65,7,20,38,21,18,3,49,Good,Good,Good,Maybe,Yes,No
